"setting","version","epoch","time"
1,1,26,1.8799999999992
1,2,26,1.27000000000044
1,3,26,1.19999999999891
5,3,13,1946.02
1,1,27,1.72999999999956
1,2,27,1.19000000000051
1,3,27,0.790000000000873
5,3,12,1940.34
1,1,28,1.38000000000102
5,3,4,1940.64
1,2,28,1.26000000000022
1,3,28,1.25
1,1,29,1.44000000000051
1,2,29,1.11000000000058
1,3,29,0.979999999999563
5,3,19,1925.13
1,1,30,1.51999999999862
5,3,17,1936.45
1,2,30,1.60999999999876
1,3,30,0.969999999999345
1,1,31,1.54000000000087
1,2,31,1.48000000000138
1,3,31,1.17000000000007
5,3,6,1971.29
1,1,32,1.39000000000124
1,2,32,1.22000000000116
1,3,32,1.19000000000051
5,3,2,1981.97
1,1,33,1.40999999999985
1,2,33,1.34000000000015
1,3,33,1.15000000000146
5,3,18,1952.38
1,1,34,1.60000000000036
1,2,34,1.3799999999992
1,3,34,1.19999999999891
5,3,8,2010.5
1,1,35,1.38999999999942
1,2,35,1.40000000000146
1,3,35,1.19999999999891
5,3,10,2040.6
1,1,36,1.40000000000146
5,3,3,2024.05
1,2,36,1.19000000000051
1,1,37,1.38999999999942
1,3,36,1.30999999999949
1,2,37,1.21999999999935
1,3,37,1.35000000000036
2,1,21,677.24
5,3,16,2028.98
5,3,15,2044.06
1,1,38,1.48999999999978
1,1,39,1.52999999999884
1,2,38,1.25
1,3,38,1.09999999999854
1,2,39,1.43999999999869
1,3,39,1.56999999999971
2,1,22,667.25
2,1,23,696.790000000001
5,3,20,2096.61
1,1,40,1.71999999999935
1,2,40,1.89000000000124
1,3,40,1.09000000000015
2,1,24,687.65
2,1,25,705.360000000001
2,1,26,696.890000000001
2,1,27,685.889999999999
2,1,29,673.050000000001
2,1,30,667.029999999999
2,1,28,701.25
2,1,31,695.83
2,1,32,665.560000000001
2,1,33,685.879999999999
2,1,34,703.17
2,2,21,529.42
2,1,36,656.209999999999
2,1,37,676.5
2,1,35,700.570000000002
2,2,22,544.039999999999
2,2,23,560.539999999999
2,1,39,698.199999999999
2,1,38,714.67
2,2,24,546.73
2,2,25,541.969999999999
2,2,26,549.379999999999
2,2,27,511.450000000001
2,2,29,508.779999999999
2,1,40,708.310000000001
2,2,30,539.370000000001
2,2,28,541.540000000001
2,2,31,551.57
2,3,21,342.790000000001
2,2,32,515.25
2,2,33,501.550000000001
2,3,22,341.01
2,2,34,561.120000000001
2,3,23,345.160000000002
2,2,36,507.769999999999
2,2,37,523.98
2,2,35,575.92
2,3,24,343.84
2,2,39,547.390000000001
2,3,29,306.129999999999
2,2,38,562.359999999999
2,3,25,353.59
2,3,26,345.359999999999
2,3,27,341.68
2,3,30,350.75
2,3,28,352.030000000001
2,3,32,329.799999999999
2,3,31,357.41
3,1,21,370.580000000002
2,3,33,333.33
2,2,40,526.379999999999
3,1,22,392.76
2,3,34,361.210000000001
3,1,23,371.309999999999
2,3,36,322.870000000001
2,3,37,332.949999999999
2,3,35,368.779999999999
2,3,39,343.969999999999
3,1,24,356.08
3,1,29,365.690000000001
2,3,38,354.059999999999
3,1,26,377.219999999999
3,1,25,377.589999999998
3,1,27,376.529999999999
3,1,30,370.139999999999
3,1,28,383.27
3,1,32,371.190000000001
3,1,31,375.860000000001
3,1,33,367.42
2,3,40,363.67
3,1,34,368.860000000001
3,1,36,359
3,1,37,362.25
3,2,21,597.640000000001
3,1,35,383.769999999999
3,1,39,382.639999999999
3,2,22,624.869999999999
3,2,23,607.77
3,1,38,388.459999999999
3,2,24,564.58
3,2,29,583.619999999999
3,1,40,373.379999999999
3,2,25,595.41
3,2,27,593.57
3,2,26,622.689999999999
3,2,30,583.309999999999
3,2,28,598.07
3,2,32,601.25
3,2,31,620.880000000001
3,2,33,607.049999999999
3,2,34,578.32
3,2,36,565.17
3,2,37,587.469999999999
3,2,35,617.35
3,2,39,614.74
3,2,38,601.08
3,2,40,595.970000000001
3,3,21,1127.77
3,3,23,1147.09
3,3,22,1194.1
3,3,24,1065.22
3,3,29,1106.61
3,3,25,1109.36
3,3,27,1131.61
3,3,30,1114.99
3,3,26,1151.64
3,3,28,1116.22
3,3,32,1127.06
3,3,33,1125.35
3,3,31,1156.18
3,3,34,1081.69
3,3,36,1083.99
3,3,37,1092.37
3,3,35,1146.02
3,3,39,1148.11
3,3,38,1161.94
3,3,40,1104.92
4,1,21,1433.65
4,1,24,1359.45
4,1,23,1471.84
4,1,22,1537.93
4,1,29,1428.12
4,1,25,1415.62
4,1,30,1432.59
4,1,27,1459.9
4,1,28,1453.69
4,1,32,1448
4,1,26,1495.35
4,1,34,1402.56
4,1,33,1459.42
4,1,36,1379.26
4,1,31,1504.84
4,1,37,1405.42
4,1,35,1525.9
4,1,39,1493.43
4,1,38,1516.6
4,1,40,1454.64
5,1,21,1579.72
5,1,24,1509.09
5,1,23,1616.5
5,1,29,1578.22
5,1,25,1568.39
5,1,22,1694.35
5,1,30,1575.62
5,1,27,1614.24
5,1,36,1527.38
5,1,28,1597.27
5,1,34,1541.85
5,1,32,1593.78
5,1,26,1646.75
5,1,33,1608.83
5,1,37,1557.75
5,1,31,1664.46
5,1,39,1642
5,1,35,1676.19
5,1,38,1673.24
5,1,40,1606.96
5,2,21,1651.09
5,2,24,1588.43
5,2,23,1698.03
5,2,29,1657.56
5,2,25,1651.61
5,2,30,1650.65
5,2,36,1604.6
5,2,34,1633
5,2,27,1694.39
5,2,22,1778.07
5,2,28,1688.58
5,2,32,1676.56
5,2,37,1629.01
5,2,33,1696.05
5,2,26,1720.37
5,2,31,1756.31
5,2,39,1726.65
5,2,35,1763.98
5,2,40,1682.98
5,2,38,1751.3
5,3,24,1846.22
1,1,41,1.36000000000058
1,2,41,1.43999999999869
1,3,41,1.20000000000073
5,3,21,1922.18
1,1,42,1.47000000000116
1,2,42,1.07999999999811
1,3,42,1.06999999999971
5,3,23,1980.11
5,3,29,1928.95
1,1,43,1.59000000000015
1,1,44,1.27000000000044
1,2,43,1.25
1,3,43,1.25
1,2,44,1.77000000000044
1,3,44,1.18000000000029
5,3,25,1920.19
1,1,45,1.88999999999942
1,2,45,1.13999999999942
1,3,45,1.25
5,3,36,1875.47
1,1,46,1.32999999999811
1,2,46,1.34000000000015
1,3,46,1.37000000000262
5,3,30,1924.83
1,1,47,1.47999999999956
1,2,47,1.45999999999913
1,3,47,1.12999999999738
5,3,34,1907.25
1,1,48,1.38999999999942
1,2,48,1.65999999999985
1,3,48,1.02999999999884
5,3,27,1983.36
1,1,49,1.45000000000073
5,3,37,1893.44
1,2,49,1.75
1,3,49,1.17000000000189
1,1,50,1.59000000000015
1,2,50,1.19000000000233
5,3,32,1957.55
1,3,50,0.979999999999563
1,1,51,2.02999999999884
1,2,51,1.63999999999942
1,3,51,1.18000000000029
5,3,28,1966.22
1,1,52,1.09000000000015
1,2,52,1.38999999999942
1,3,52,1.04000000000087
5,3,22,2082.83
5,3,33,1979.48
1,1,53,1.65000000000146
1,1,54,1.43999999999869
1,2,54,1.06999999999971
1,2,53,1.71999999999753
1,3,54,1.17000000000189
1,3,53,1.06000000000131
5,3,26,2014.45
1,1,55,1.27000000000044
1,2,55,0.779999999998836
1,3,55,1.22000000000116
2,1,42,649.200000000001
2,1,41,676.280000000002
5,3,31,2056.2
1,1,56,1.72999999999956
1,2,56,1.22999999999956
1,3,56,1.06000000000131
2,1,44,682.720000000001
2,1,43,685.720000000001
2,1,45,695.73
5,3,39,2044.3
1,1,57,1.44000000000233
1,2,57,1.2699999999968
1,3,57,1.09000000000015
5,3,40,1972.87
1,1,58,1.5
1,2,58,1.41999999999825
1,3,58,1.08000000000175
2,1,46,678
2,1,47,688.07
5,3,35,2066.92
1,1,59,1.53000000000247
1,2,59,1.45000000000073
1,3,59,1.43000000000029
2,1,48,668.779999999999
5,3,38,2077.89
1,1,60,1.65999999999985
1,2,60,1.22000000000116
1,3,60,1.41999999999825
2,1,51,671.530000000002
2,1,50,679.290000000001
2,1,49,697.330000000002
2,1,52,688.239999999998
2,2,41,528.16
2,2,42,541.419999999998
2,1,53,669.350000000002
